SUBURB_NAME,LOCAL_GOVERNMENT_AREA,AVG_HEAT_CELSIUS,MIN_HEAT_CELSIUS,MAX_HEAT_CELSIUS,HEAT_STD_DEV,MESH_BLOCK_COUNT,AVG_VEGETATION_PCT,AVG_TREE_PCT,AVG_SHRUB_PCT,AVG_GRASS_PCT,AVG_SMALL_TREES_PCT,AVG_MEDIUM_TREES_PCT,AVG_LARGE_TREES_PCT,TOTAL_AREA_HECTARES,CENTROID_LONGITUDE,CENTROID_LATITUDE,SUBURB_HEAT_CATEGORY,HEAT_RANK,VEGETATION_RANK
Mount Waverley - North,Monash (C),8.04,5.29,11.63,0.77,180,30.7,16.94,6.86,6.9,12.12,3.22,1.61,648.37,145.13,-37.87,High Heat,155,165
Mount Waverley - South,Monash (C),8.12,4.5,10.2,0.87,256,29.45,14.71,6.35,8.38,10.65,2.78,1.28,870.0,145.13,-37.89,High Heat,151,189
Mulgrave,Monash (C),8.69,4.45,10.13,0.72,223,34.09,11.04,7.71,15.33,8.88,1.61,0.55,1071.83,145.18,-37.93,High Heat,118,112
Murrumbeena,Glen Eira (C),8.43,7.03,9.68,0.49,113,27.42,13.94,6.26,7.22,11.13,2.07,0.74,251.45,145.07,-37.9,High Heat,130,218
Narre Warren - North East,Casey (C),11.47,7.86,12.67,0.9,133,36.74,9.83,7.87,19.03,8.59,1.0,0.23,487.4,145.31,-38.01,High Heat,10,84
Narre Warren - South West,Casey (C),11.04,6.29,13.38,1.48,168,36.82,10.89,6.97,18.96,8.51,1.81,0.57,930.54,145.31,-38.02,High Heat,18,81
Narre Warren North,Casey (C),7.96,2.87,11.26,1.68,93,60.74,16.33,7.04,37.36,9.86,3.55,2.92,3440.85,145.31,-37.99,Moderate Heat,159,14
Narre Warren South (East),Casey (C),12.89,7.16,14.97,1.43,117,37.28,10.14,8.33,18.81,9.21,0.79,0.15,622.06,145.31,-38.06,Extreme Heat,2,72
Narre Warren South (West),Casey (C),12.48,8.19,14.69,1.55,138,38.16,8.62,7.89,21.66,7.43,0.95,0.24,677.72,145.29,-38.05,Extreme Heat,4,64
Newport,Hobsons Bay (C),7.47,-3.33,10.08,1.94,265,32.92,10.28,7.0,15.64,8.52,1.31,0.45,884.0,144.88,-37.84,Moderate Heat,187,127
